"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2857264202648710507",="2857264202648710507","仲景辣辣队辣椒酱245g魔鬼番茄蒜蓉辣酱烧烤拌面拌饭酱剁椒酱蘸料","24.90","1","null","口味：【过瘾辣】魔鬼辣酱245g*2瓶","null","null","交易成功","null",="2022083122001148371409128002","24.16","24.16","没有申请退款","无退款申请","2022-08-31 19:52:26","2022-08-31 19:52:31"
="1659001190686788579",="1659001190686788579","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","4.90","1","AQZH35","颜色分类：【甜味型】甜酒曲8g*5袋（无赠品）","null","null","交易成功","AQZH35",="2022083122001110831405693920","4.76","4.76","没有申请退款","无退款申请","2022-08-31 19:52:02","2022-08-31 19:52:07"
="2856000600452695528",="2856000600452695528","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨番茄底料125g","null","null","交易成功","null",="2022083122001106281449123233","6.56","6.56","没有申请退款","无退款申请","2022-08-31 19:51:58","2022-08-31 19:52:03"
="2856001392207543862",="2856001392207543862","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：细挂面800g*3袋","null","null","交易成功","null",="2022083122001144161449164432","20.28","20.28","没有申请退款","无退款申请","2022-08-31 19:51:45","2022-08-31 19:51:52"
="2856890557615913455",="2856890557615913455","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001177671442216654","6.56","6.56","没有申请退款","无退款申请","2022-08-31 19:50:43","2022-08-31 19:50:45"
="2857616967081640615",="2857616967081640615","海天0添加黄豆酱300g*3袋家用炒菜拌面东北大酱大葱蘸酱豆瓣酱料","10.90","1","hthdjyw04","口味：0添加黄豆酱300g*1袋","null","null","交易成功","hthdjyw04",="2022083122001156571439193806","10.58","10.58","没有申请退款","无退款申请","2022-08-31 19:50:35","2022-08-31 19:50:44"
="2856889873479913455",="2856889873479913455","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001177671442554512","6.56","6.56","没有申请退款","无退款申请","2022-08-31 19:50:12","2022-08-31 19:50:14"
="2857261430072778644",="2857261430072778644","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","13.50","34","null","口味：清油麻辣220g*1袋（3-5人份）","null","null","交易成功","null",="2022083122001164791448446260","458.60","458.60","没有申请退款","无退款申请","2022-08-31 19:49:35","2022-08-31 19:49:42"
="1658999534278034680",="1658999534278034680","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：1人份丨冬阴功底料120g","null","null","交易成功","null",="2022083122001191791451791111","6.56","6.56","没有申请退款","无退款申请","2022-08-31 19:48:51","2022-08-31 19:48:58"
="1659022791593511274",="1659022791593511274","海底捞金汤酸汤肥牛调料包家用黄灯笼辣椒商用酸辣料理包酸菜鱼","29.70","1","null","口味：酸汤肥牛200g*3袋【送2包小米辣】","null","null","交易成功","null",="2022083122001153921405517536","28.81","28.81","没有申请退款","无退款申请","2022-08-31 19:48:38","2022-08-31 19:48:50"
="2856885913583441903",="2856885913583441903","太太乐鲜鸡汁408g*2瓶家用煲汤炒菜替代鸡精味精浓缩高汤厨房调料","58.00","1","TTLZH05","null","null","null","交易成功","TTLZH05",="2022083122001113201402134822","33.71","33.71","没有申请退款","无退款申请","2022-08-31 19:48:35","2022-08-31 19:48:36"
